UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS
3fe4479c-0011-414f-b955-34224c8294c2,Coa,char-offset:231,PLACE,http://pleiades.stoa.org/places/599581,"Kos/Cos (island)|Kos/Cos, Kos",36.844,27.17,island,VERIFIED,,
6d25613e-c6aa-46ea-8e7b-b55c6bb7d2d4,mecum,char-offset:526,PERSON,,,,,,,,Propertius.In my map - focus on the places evoked in this poem - here personal pronouns are (of Propertius) evoke roman setting not likely the place of his birth (Assisium). I argue the same for Maecenas. – Rome and not Arretium (http://pleiades.stoa.org/places/413032) Especially since the end of the poem is the setting of Propertius’ bustum.
841ecb52-3d52-425e-ae93-8b7d06e460fc,Iliadas,char-offset:577,PLACE,http://pleiades.stoa.org/places/550595,"Ilium/Troia|Ilium/Troia, Hisarlık",39.9577,26.23873,settlement,VERIFIED,Book,Book
9a2d6351-453b-417d-aa96-893c8ce26fd4,mihi,char-offset:679,PERSON,,,,,,,,"Propertius|In my map - focus on the places evoked in this poem - here
personal pronouns are (of Propertius) evoke roman setting not likely the place
of his birth (Assisium). I argue the same for Maecenas. – Rome and not Arretium
(http://pleiades.stoa.org/places/413032)

Especially since the end of the poem is the setting of Propertius’
bustum."
8efff8a8-9820-4b5d-9254-4c24cb701664,Maecenas,char-offset:695,PERSON,,,,,,,,"Maecenas|When was Book 2 written/published?When was the House of Maecenas on the Esquiline built?|In my map - focus on the places evoked in this poem - here
personal pronouns are (of Propertius) evoke roman setting not likely the place
of his birth (Assisium). I argue the same for Maecenas. – Rome and not Arretium
(http://pleiades.stoa.org/places/413032)

Especially since the end of the poem is the setting of Propertius’
bustum."
ef874b7a-c79c-4bc6-98ba-89e5c18afce1,Titanas,char-offset:772,PERSON,,,,,,,Mythological,
4b908eef-4b15-496b-8cc2-ef82f34c8f42,Ossan,char-offset:793,PLACE,http://pleiades.stoa.org/places/540993,"Ossa (mountain range)|Ossa Mons, Ossa (Kissavos)",39.7957751,22.6851958,mountain,VERIFIED,,Mt. Ossa (Barrington Atlas 57 A2)Otus and Ephialtes placed mountains on top of other mountains: Ossa on top of Olympus and Pelion on top of Ossa.Odyssey 11.315
19be7781-00de-432c-b84a-d076f16608c5,"Olympo	",char-offset:799,PLACE,http://pleiades.stoa.org/places/491677,"Olympus/Hadrianopolis|Olympos (mountain in Greece)|Olympus Mons, Mount Olympos|Olympus/Hadrianopolis, Deliktaş",40.0862269,22.3584897,"mountain,settlement",VERIFIED,,
d21edc19-98d6-4fb4-983b-2fb930b1b6bd,Pelion,char-offset:829,PLACE,http://pleiades.stoa.org/places/541021,"Pelion M.|Pelion Mons, Pelion",39.43722,23.0465058,mountain,VERIFIED,,Barrington Atlas 57 B2)
56c475c2-ab7a-4b65-8bee-e1e69655b458,Pelion,char-offset:829,,,,,,,,,Pelion is a mythical (?) mountain.Ossa is a Mythical? MountainOtus and Ephialtes placed mountains on top of other mountains: Ossa on top of Olympus and Pelion on top of Ossa.Odyssey 11.315
f9460060-2875-40a1-a875-2462c1eaebfc,Thebas,char-offset:863,PLACE,http://pleiades.stoa.org/places/541138,"Thebai/Thebae|Kabeirion|Kabeirion, Kabeirion|Thebai, Thiva",38.318092,23.255096,"sanctuary,settlement",VERIFIED,,Thebes|Which thebes?
93ab83c6-6b4d-4cc4-bb21-5096b1fb0c9a,Pergama,char-offset:875,PLACE,http://pleiades.stoa.org/places/550595,"Ilium/Troia|Ilium/Troia, Hisarlık",39.9577,26.23873,settlement,VERIFIED,,"Pergamum? Thus, says the Loeb|Verify in Camps|Pergăma is defined as a plural noun meaning ""the citadel of Troy, poet. for Troy"" (Lewis and Short)."
36615071-ca67-4509-8bc8-00a76b63334e,Homeri,char-offset:889,PERSON,,,,,,,,Homer
952e73f9-5249-4844-9bdb-1d9466f285b6,Xerxis,char-offset:900,PERSON,,,,,,,,"Xerxes, son of Darius I"
36a3b3f6-0ffe-435e-beb6-bb8514be4c51,imperio bina coisse vada,char-offset:910,PLACE,http://pleiades.stoa.org/places/501325,"Abydos|Abydos, Maltepe",40.19406,26.41122,settlement,VERIFIED,,"cf. Herodotus, Histories 7.36.1http://data.perseus.org/citations/urn:cts:greekLit:tlg0016.tlg001.perseus-eng1:7.36.1Stephen Mitchell, citing (Hdt. 7. 34, 43 ff.) places the site of Xerxes' crossing of the Hellespont as the harbor in Asia Minor to the west of the Hellespont (Abydos, OCD)."
a5fdce6f-92b2-4863-8ecb-56d7ed7cd32d,Remi,char-offset:951,PERSON,,,,,,,Mythological; Historical,RemusCamps argues that Remus must mean Romulus (p. 69). He provides details. . . I'm not sure.|regna . . . Remi
b26b892d-4ac7-4244-a3ea-672d26beaf96,Carthaginis,char-offset:967,PLACE,http://pleiades.stoa.org/places/314921,"Ziqua|Monument circulaire|Basilique de Dermech|Odéon|Théâtre|Carthago|Carthago, Carthago|Nécropoles puniques|Rotonde de Damous El Karita|Ziqua, Zaghouan",36.857569,10.327986,"amphitheatre,cemetery,villa,theatre,port,church,settlement,circus,bath",VERIFIED,,
3b1de051-c675-4818-9ea7-b34ed065ed23,Cimbrorum,char-offset:989,PERSON,,,,,,,,"""Cimbrorumque minas: the menace averted by Marius' victory over the Cimbri at the Raudine plains in 101 B.C."" (Camps 69).""Raudii Campi (or Campus Raudius) is the name of a plain located in Cisalpine Gaul where, in 101 BC, Caius Marius and Catulus defeated the Cimbri. The precise location, perhaps near Verona, is not certain.""https://pleiades.stoa.org/places/387335"
83c39e01-a128-42e0-a0a0-2ffbf6b681ea,Mari,char-offset:1021,PERSON,,,,,,,,Marius|From around Arpinum. Lived in Rome and held office in Rome as novus homo (New Pauly). There is also an elogium of Marius in the Forum of Augistus (See https://tinyurl.com/elogium-of-Marius)
a9c454dc-e8db-4fd8-bb81-91e094e567be,tui,char-offset:1044,PERSON,,,,,,,,"Maecenas|When was Book 2 written/published?When was the House of Maecenas on the Esquiline built?|In my map - focus on the places evoked in this poem - here
personal pronouns are (of Propertius) evoke roman setting not likely the place
of his birth (Assisium). I argue the same for Maecenas. – Rome and not Arretium
(http://pleiades.stoa.org/places/413032)

Especially since the end of the poem is the setting of Propertius’
bustum."
f58fad34-0cdc-43b3-a25d-8b387445dae6,Caesaris,char-offset:1058,PERSON,,,,,,,,"Caesar|For now, I am placing Caesar at Rome"
7a0c0084-fc61-42b0-a4fd-aad237a5495d,tu,char-offset:1071,PERSON,,,,,,,,"Maecenas|When was Book 2 written/published?When was the House of Maecenas on the Esquiline built?|In my map - focus on the places evoked in this poem - here
personal pronouns are (of Propertius) evoke roman setting not likely the place
of his birth (Assisium). I argue the same for Maecenas. – Rome and not Arretium
(http://pleiades.stoa.org/places/413032)

Especially since the end of the poem is the setting of Propertius’
bustum."
1bdfb451-68ac-4334-bc99-8f79f05904a3,Caesare,char-offset:1079,PERSON,,,,,,,Historical,
36fde197-0d80-4f35-bb83-e2d17b08ea8f,Mutinam,char-offset:1131,PLACE,http://pleiades.stoa.org/places/383715,"Mutina|Mutina, Modena|Modena",44.6471,10.9252,settlement,VERIFIED,,Who was at this battle?|Victory by Octavian (Goold p. 118)
f48272ae-086f-4333-a64f-cfbf5e397429,Philippos,char-offset:1157,PLACE,http://pleiades.stoa.org/places/501564,Philippoi|Philippoi,41.02518,24.334511,settlement,VERIFIED,,Who again was at Philippi?Octavian and Antony?|Victory by Octavian (Goold p. 118)
0a3550bd-8762-44c2-83b0-27bd4cc253b4,Siculae,char-offset:1182,PLACE,http://pleiades.stoa.org/places/462492,Sicilia (island),37.53667612,14.08648465,island,VERIFIED,,
afeec0c6-f8c9-446f-9821-e5b08cec7c2b,Etruscae,char-offset:1246,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,VERIFIED,,
51fe126a-35ff-41ac-a614-c16aafc4f7aa,Ptolemaeei,char-offset:1262,PERSON,,,,,,,,"Ptolemaeei . . . Phari Ptolemy resided in Alexandria where also was the lighthouse of Pharos.To which Ptolemy, however, is Propertius referring?"
ccebe41b-6610-4cbf-ab92-1bf82aa9dfa6,Phari,char-offset:1286,PLACE,http://pleiades.stoa.org/places/727197,"Pharos|Pharos, Pharos, Alexandria",31.213931,29.885661,lighthouse,VERIFIED,Monument,
8b821c8b-3b01-4bc0-8898-eaef0f02e1f3,Aegyptum,char-offset:1308,PLACE,http://pleiades.stoa.org/places/766,Aegyptus (Roman imperial province),,,province,VERIFIED,,
9a25951f-25a3-42c0-965a-8371da88a1e4,Nilum,char-offset:1320,PLACE,http://pleiades.stoa.org/places/727172,Nilus (river),19.21140877,30.56732963,river,VERIFIED,,
4a912d5c-fed1-40b6-a767-ae0f43b6a60f,urbem,char-offset:1344,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban",VERIFIED,,Rome - here named as Urbem
9efa5090-4aa3-4bea-ad2e-7aca6d1712e1,septem captivis debilis ibat aquis,char-offset:1353,PLACE,http://pleiades.stoa.org/places/727191,,,,,VERIFIED,,"From East to West, the seven mouths of the Nile: (1) Pelousiakon Stoma, (2) Tantikon/Saitikon Stoma, (3) Mendesion Stoma, (4) Phatnitikon Stoma, (5) Sebennytikon Stoma, (6) Bolbitinon Stoma, (7) Kanobikon Stoma.|Konobikon Stoma is in the wrong location"
3075910b-2904-4cdd-a990-2477febfc9b4,"regum auratis circumdata colla catenis,",char-offset:1394,PERSON,,,,,,,,Roman Triumph
7f24e437-8e30-4a47-b16a-4aae2b7befb7,Actia,char-offset:1437,PLACE,http://pleiades.stoa.org/places/530772,"Actium Pr.|Actium Pr., Akra Akri",38.923568,20.749775,cape,VERIFIED,Pertaining to a location|Pertaining to an event.|Pertaining to a celebration.,"Actia . . . rostra: ""Actian ship-beaks""Evoking the battle of Actium and, I add, the location itself (for instance the focus on the ship-beaks, which, I argue, are metonymy for the battle which took place on the sea). See Camps (1967), 70 for a discussion on the identification of these rostra and his suggestion that these are indicative of a Triumph."
c08943b8-6f0a-4502-9bff-fd5c33e067c2,Sacra currere rostra Via,char-offset:1449,PLACE,http://pleiades.stoa.org/places/434423626,Sacra Via,41.8922983,12.4859059,road,VERIFIED,Location,Via Sacra
5598286d-f0fe-49cc-b165-9f6162deae2f,Musa,char-offset:1483,PERSON,,,,,,,Mythological,
b4119586-a41e-4de5-b660-ce04cf0f7f56,Theseus,char-offset:1564,PERSON,,,,,,,Mythological,
67a9722f-2a5d-4945-b079-b695b56356c2,infernis,char-offset:1572,PLACE,,,,,,UNVERIFIED,,
5d788fcd-e360-4c60-a61b-025df528248c,superis,char-offset:1582,PLACE,,,,,,UNVERIFIED,,
eef08098-3aa7-4bc4-8ef0-1b529b21a325,Achilles,char-offset:1599,PERSON,,,,,,,Mythological,
260c7072-5793-44a2-bb9a-9e487e91af2a,Ixioniden,char-offset:1616,PERSON,,,,,,,,"PirithousIxioniden
(“son of Ixion,” i.e. Pirithous) – Pirithous is a Lapith who fought centaurs (Il. 1. 263 ff.)
– friend of Theseus (Od. 21. 295 ff. and Od. 11. 631) OCD. Ixion, Pirithous’ father, was a ~legendary
king~ of Thessaly. (Champs, 70)|Ixioniden
(“son of Ixion,” i.e. Pirithous) – Pirithous is a Lapith who fought centaurs (Il. 1. 263 ff.)
– friend of Theseus (Od. 21. 295 ff. and Od. 11. 631) OCD. Ixion, Pirithous’ father, was a ~legendary
king~ of Thessaly."
33a404f2-92a1-40cf-883f-3e5583871c65,Menoetiaden,char-offset:1632,PERSON,,,,,,,,"Menoetiaden (“son of Menoetius,” i.e. Patroclus). (Camps, 70). Both
Menoetius and Patroclus moved to Phthia, after Patroclus killed a man (OCD, New
Pauly)."
06bd1216-ac04-410d-829c-1afeaad43ddc,Phlegraeos,char-offset:1762,PLACE,http://pleiades.stoa.org/places/432744,Campi Phlegraei,40.827,14.139,"region,plain",VERIFIED,,"Phlegraean fields?|Phlegraean fields, according to Camps, reputed to be in Thessaly or near Cumae in Italy (71)."
2895d507-9e41-47b0-a75e-39108c952c2d,Iovis,char-offset:1773,PERSON,,,,,,,Mythological,Iuppiter
5b074ba6-5818-4a51-a6c3-78cf1416c6c7,Enceladique,char-offset:1779,PERSON,,,,,,,Mythological,"Enceladus
– buried under  Mt. Aetna (Camps, ?) (New Pauly and OCD)"
6004838c-4811-41b8-be41-2ee820e0019e,Callimachus,char-offset:1829,PERSON,,,,,,,,
30545cb5-3525-4f96-8168-6ffe743af31d,mea,char-offset:1849,PERSON,,,,,,,,Propertius|mea . . . praecordiaPropertius
80ef3bac-c069-46d8-bf95-67d90f1c7000,Caesaris,char-offset:1889,PERSON,,,,,,,Historical,Caesar
a1abcf14-f759-46f8-b1e8-9081f5c6906d,Phrygios,char-offset:1901,PLACE,http://pleiades.stoa.org/places/609502,Phrygia,38.75,29.75,region,VERIFIED,Pertaining to a location,
898a4da4-415b-407e-945e-c1f1984ce2a0,arator,char-offset:1966,PERSON,,,,,,,,
f0caeb54-2b1c-4843-adc4-8c811fa10ff0,Helena,char-offset:2256,PLACE,http://pleiades.stoa.org/places/550595,"Ilium/Troia|Ilium/Troia, Hisarlık",39.9577,26.23873,settlement,VERIFIED,Mythological,Hellen of Troy
0f8151ff-2a4e-462a-aa62-f74660d6abf0,Iliada,char-offset:2274,PLACE,http://pleiades.stoa.org/places/550595,"Ilium/Troia|Ilium/Troia, Hisarlık",39.9577,26.23873,settlement,VERIFIED,Book,Iliad
f4d5f10e-46b4-437e-836f-b572129820aa,mihi,char-offset:2290,PERSON,,,,,,,,"Propertius|In my map - focus on the places evoked in this poem - here
personal pronouns are (of Propertius) evoke roman setting not likely the place
of his birth (Assisium). I argue the same for Maecenas. – Rome and not Arretium
(http://pleiades.stoa.org/places/413032)

Especially since the end of the poem is the setting of Propertius’
bustum."
e7f5770b-30a6-4ba2-976c-3ff002ad9ed6,"Phaedrae,",char-offset:2325,PERSON,,,,,,,,"Jhy trans “the potions of the step-mother Phaedra which
must be touched by me”

 

Phaedra – second wife of Theseus - Tried to seduce her
son-in-law Hippolytus (New Pauly) 

– in Troezen/Trozen (Eur. Hippolytus
10-14)"
889a0a24-bf07-4eff-970f-7f840f43b37b,privigno non nocitura suo,char-offset:2345,PERSON,,,,,,,,"privigno . . . suo = Hippolytus, Phaedra's son-in-law|Phaedra’s privigno
. . . suo  -- Hippolytus – in Troezen/Trozen
(Eur.
Hippolytus 10-14)

 

Aphrodite:

ὁ γάρ με Θησέως παῖς, Ἀμαζόνος
τόκος, / Ἱππόλυτος, ἁγνοῦ Πιτθέως
παιδεύματα, / μόνος πολιτῶν τῆσδε γῆς
Τροζηνίας / λέγει κακίστην δαιμόνων
πεφυκέναι . . . (Eur. Hippolytus
10-14)

“The truth of these words I
shall shortly demonstrate. Theseus’ son Hippolytus, offspring of the Amazon
woman and ward of holy Pittheus, alone among the citizens of this land of
Trozen, says that I am the worst of deities. “

DOI: 10.4159/DLCL.euripides-hippolytus.1995"
9e946a90-87e1-4db1-bff2-cb2ea613ec1f,mihi,char-offset:2377,PERSON,,,,,,,,Propertius
28258b77-86c3-4a71-bf78-1aa63ca5ce01,Circaeo,char-offset:2382,PLACE,http://pleiades.stoa.org/places/432783,"Circeii 2|Kirkaion Akron/Veneris Pr.|Kirkaion Akron/Veneris Pr., Monte Circeo|Circeii, Rovine di Circe, Sabaudia",41.2379462,13.0459251,"mountain,settlement,port,cape",VERIFIED,,"Circe
– “ Homerplaces her island of Aeaea at
the extreme east of the world (Od. 12. 3–4), but
as early as Hesiod, Theog.1011–16 she is
associated also with the west and frequently placed at Monte Circeo (see circeii) on the coast of Latium (so Apollonius (1) of Rhodes and Virgil; cf. Hunter on Ap. Rhod. Arg. 3. 311–13).”
OCD, “Circe” by Richard Hunter"
ee173a36-14d0-4096-ab2d-51528fb51775,Colchis,char-offset:2419,PLACE,http://pleiades.stoa.org/places/874432,"Colchis|Colchis, Yukarı Huh",38.52585,39.228819,settlement,VERIFIED,,
ba592b6f-a794-4487-a170-a4532ca4b1f0,Iolciacis,char-offset:2427,PLACE,http://pleiades.stoa.org/places/540837,"Iolkos|Iolkos, Volos Kastro",39.366305,22.96886,settlement,VERIFIED,,
7f3aa965-e376-481d-87fe-b343b9c84c7b,meos,char-offset:2459,PERSON,,,,,,,,"Propertius|In my map - focus on the places evoked in this poem - here
personal pronouns are (of Propertius) evoke roman setting not likely the place
of his birth (Assisium). I argue the same for Maecenas. – Rome and not Arretium
(http://pleiades.stoa.org/places/413032)

Especially since the end of the poem is the setting of Propertius’
bustum."
b7f4a222-999b-4575-87df-52fe440bd3d6,femina,char-offset:2483,PERSON,,,,,,,,
3114db07-8248-44bd-892d-1e4709fbabc9,nostra,char-offset:2526,PERSON,,,,,,,,
8a6f698f-809a-4ad5-813c-79dafc080548,Philoctetae,char-offset:2625,PERSON,,,,,,,,"Healed at Troy by MachaonPhiloctetes ""There, P. is cured by Machaon or Podaleirius; and by killing Paris with an arrow, he contributes decisively to the fall of Troy (this is treated in the Ilias parva, EpGF p. 52; subject of a dithyramb (hymn to Dionysus) by Bacchylides, fr. 7; Soph. Phil. 604-613; Apollod. Epit. 5,8)."" (New Pauly)."
04c27c29-9276-4009-89f3-b287747e5270,Machaon,char-offset:2651,PERSON,,,,,,,,
27969d01-a1f0-48bb-b09e-efeefab809f6,Phoenicis,char-offset:2663,PERSON,,,,,,,,"Iliad 9.484ναῖον δ’ ἐσχατιὴν Φθίης Δολόπεσσιν ἀνάσσων.καί σε τοσοῦτον ἔθηκα θεοῖς ἐπιείκελ’ Ἀχιλλεῦ,   (485)ἐκ θυμοῦ φιλέων, ἐπεὶ οὐκ ἐθέλεσκες ἅμ’ ἄλλῳ οὔτ’ ἐς δαῖτ’ ἰέναι οὔτ’ ἐν μεγάροισι πάσασθαι,πρίν γ’ ὅτε δή σ’ ἐπ’ ἐμοῖσιν ἐγὼ γούνεσσι καθίσσαςὄψου τ’ ἄσαιμι προταμὼν καὶ οἶνον ἐπισχών."
b18ec023-b6b4-4517-b470-89aa6f566d85,Chiron,char-offset:2673,PERSON,,,,,,,,At least Pindar (Pythian Ode 3.?) locates Chiron and his mother Phillyra (?) at Pelion.http://data.perseus.org/texts/urn:cts:greekLit:tlg0033.tlg002.perseus-eng1
ce63ac6a-ac73-494d-a499-4a65e86b2c95,Phillyrides,char-offset:2687,PERSON,,,,,,,,At least Pindar (Pythian Ode 3.?) locates Chiron and his mother Phillyra (?) at Pelion.http://data.perseus.org/texts/urn:cts:greekLit:tlg0033.tlg002.perseus-eng1
5508beaf-f932-44e7-90c0-87f53ba83c6c,deus,char-offset:2706,,,,,,,,Mythological,deus . . . Epidaurius = Asclepius
9a6448d3-4a4e-435d-b7fb-d1d579aaed1c,Cressis,char-offset:2722,PERSON,,,,,,,,
6891615c-47a4-4c85-8609-e12520bffd05,Epidaurius,char-offset:2730,PLACE,http://pleiades.stoa.org/places/570228,"Epidauros|The Sanctuary of Asklepios at Epidauros|Asklepieion, Asklipieio|Epidauros, Palaia Epidauros",37.596111,23.079167,"theatre,sanctuary,settlement",VERIFIED,Pertaining to a place.,deus ... Epidaurius = Asclepius
ea3d01d5-e81a-4f74-ae01-929a09c54ef6,patriis,char-offset:2761,PERSON,,,,,,,,
abe620aa-1692-4fcc-90f8-6a9b9768f866,Androgeona,char-offset:2769,PERSON,,,,,,,,
6e3581e4-7874-4072-b8ab-a20716762420,Mysus,char-offset:2788,PERSON,,,,,,,,
d7afd292-d64c-45d8-aefb-393d57ce7fda,Haemonia,char-offset:2797,PLACE,http://pleiades.stoa.org/places/1332,Thessalia,39.6,22.2,region,VERIFIED,,
29489625-06c4-4ea0-beea-2e5a5b12328e,iuvenis,char-offset:2806,PERSON,,,,,,,,Achilles
0efe4a0c-3468-4468-af84-6c8a765cfcfd,mihi,char-offset:2904,PERSON,,,,,,,,"Propertius|In my map - focus on the places evoked in this poem - here
personal pronouns are (of Propertius) evoke roman setting not likely the place
of his birth (Assisium). I argue the same for Maecenas. – Rome and not Arretium
(http://pleiades.stoa.org/places/413032)

Especially since the end of the poem is the setting of Propertius’
bustum."
02c1b15e-f04c-4c51-88c8-7163c16a8cff,Tantaleae,char-offset:2928,,,,,,,,,Adj. form of Tantalus
b3c6793f-d392-4481-b710-ee6910f708b5,virgineis,char-offset:2972,PERSON,,,,,,,,
ae8ebf0e-3a01-4866-8f94-10aa5b20676c,Caucasia,char-offset:3059,PLACE,http://pleiades.stoa.org/places/863766,"Caucasus (mountain range)|Caucasus Mons, Caucasus Mountains",43.3525468,42.4378759,mountain,VERIFIED,,
6b19c384-7028-457c-9db4-0f6e613c60eb,rupe Promethei,char-offset:3078,,,,,,,,,rupis Prometheus (the rock of Prometheus)
c3064f22-1a2c-476c-8dfb-3b746d7ab434,Promethei,char-offset:3083,PERSON,,,,,,,Mythological,
b03cf329-0271-4943-9422-a4fa412453d4,me,char-offset:3166,PERSON,,,,,,,,
cbc0d116-df8a-443c-9baf-64d40750ddc8,Maecenas,char-offset:3227,PERSON,,,,,,,,"Maecenas|In my map - focus on the places evoked in this poem - here
personal pronouns are (of Propertius) evoke roman setting not likely the place
of his birth (Assisium). I argue the same for Maecenas. – Rome and not Arretium
(http://pleiades.stoa.org/places/413032)

Especially since the end of the poem is the setting of Propertius’
bustum."
cc74ad8f-57be-4569-995e-d17842d83550,nostrae,char-offset:3237,PLACE,,,,,,UNVERIFIED,,
8e8682e0-70e6-458c-81dc-926ba88235e3,nostrae,char-offset:3237,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban",VERIFIED,,
d578e5a4-bd0b-4cb2-9b70-c8db2c22cbad,nostrae,char-offset:3237,PERSON,,,,,,,,
92398d2b-797e-4d44-a29d-b0cdcecf19e6,meae,char-offset:3304,PERSON,,,,,,,,Propertius
d1b9a5cd-bf1f-4229-909a-8fb5cda250fa,te,char-offset:3314,PERSON,,,,,,,,"Maecenas|In my map - focus on the places evoked in this poem - here
personal pronouns are (of Propertius) evoke roman setting not likely the place
of his birth (Assisium). I argue the same for Maecenas. – Rome and not Arretium
(http://pleiades.stoa.org/places/413032)

Especially since the end of the poem is the setting of Propertius’
bustum."
47ba60a5-64fc-43b0-aede-e15cf03d822d,meo,char-offset:3323,PERSON,,,,,,,,"Propertius|In my map - focus on the places evoked in this poem - here
personal pronouns are (of Propertius) evoke roman setting not likely the place
of his birth (Assisium). I argue the same for Maecenas. – Rome and not Arretium
(http://pleiades.stoa.org/places/413032)

Especially since the end of the poem is the setting of Propertius’
bustum."
1b377018-ffdd-42d7-ab05-5fddb9cd1b55,Britanna,char-offset:3379,PLACE,http://pleiades.stoa.org/places/20419,Britannia/Albion (island),53.826,-2.422,island,VERIFIED,,Verify this identification again.Is it a noun or an adjective?
bf3876bc-2bf4-4883-a274-8f8a780c642c,dura puella,char-offset:3466,PERSON,,,,,,,,
